SentimentText,Sentiment
0 1 공통점,0
0 국어 구사 아이돌,0
04 도깨비 은탁 엔딩 사랑 물리학,0
1 1만 키로 정도,0
1 1박2일 2 정준영 등장 눈물 김종민,0
1 1차세계대전 세계 대전 자비,0
1 35 비율 열차포 프라 모델,0
1 35.4 약간 딸 사진,0
1 때 노래 제목 그룹,0
1 박근혜,1
1 방송 후 폐지 예능,0
1 요청 시국 서명 부탁,0
1 요청 시국 서명 부탁,1
1 작붕 난 클로저스 애니,0
1 전 가격 얼마,0
1 전 열풍,0
1 정준영 복귀 본격 회의 시작,0
1 차 9 공무원 월 실수령액,0
1 출시 예정 신형 크루즈,0
1 폐지 방송,0
10 30 중국 충칭 변화,0
10 만점,0
10 얼굴 역변,0
10 핸드폰 교체,0
100 대중화,0
100 총,0
11 12 데일리 룩 모음 데이터 주의,0
11 심야 전기 20만,0
110만 행복,0
11번가 11 쿠폰 개악,0
11번가 당첨,0
11번가 버거킹 90 환불,0
11번가 산타 추적 추적60분 60,0
12 10 일본 가정식,0
12 11 문재인 국가 대청소 6 제안,1
12 12 이재명 문재인 언급량 비교,1
12 12,0
12 13 0 컴백 빅뱅,0
12 9 현재 국회 의원 후원 마감 현황,1
12 개 운전자,0
12 섹끈 녀,0
12 전 노대통령 탄핵 때 정세균 의원 영상,1
12 전 노무현 대통령 탄핵 당시 정세균 의장,1
12 포스터,0
12.11 오늘 천태호 라이딩,0
120 반납 책,0
122 미인 대회 우승자,0
1234 56 7 8 기대,0
144 테스트,0
14조 17 동안 판 세계 최장 터널,0
15 가수 비키니,0
15 다음 다음카페 카페 약 댓글 모음,0
15 아들 신경 엄마,0
15 오르가즘 남자,0
15 완벽 몸매 본 물병,0
15 현재 순위,0
15,0
16 대선 노무현 18 대선 문재인 여론 조사 한국 갤럽,1
16 문과 아웃풋,0
16 아이돌 급 외모 배우,0
161204 아이유 콘서트 걸음 직찍 무기,0
161209 산 콘 서 트 갤주 사진 18p 인별 중복,0
161211 갈비 수원,0
161211 수원 채영 16p,0
17 금난,0
17 금방 금 길 남녀 광란,0
17 금시 노자키 아이 슴가 크기 오피셜,0
17 금이정 도면 꽃돼지,0
17 미스 미스코리아 코리아 김진솔 몸매,0
17 미스 춘향 미스 미스코리아 코리아,0
17 왁싱녀 호 불호,0
17 주번나 개인 개인의취향 취향 1 2 3,0
17 주번나 낚시,0
17 후덕 호불호 샤넌,0
18 망가,0
18 영국군 전투 장면,0
18 원기부 김광진 꿀팁,1
18 유행 드레스,0
18 일본 위스키 온 더 락,0
18 저도 개소리,0
18 주갤 역사 최강 인증녀,0
18 직장녀,0
18 후원 관련 선관위 오피셜,0
18 후원 김광진 전의원 팁,1
18,0
19 뉴스 진행자 전면 교체,0
19 당신 실전 중국어,0
19 대선 미연시,0
19 동생 자작 앨범 19,0
19 로리 주장,0
19 민주주의 건배,1
19 밥 급딸 침,0
19 섹드립 주의 오유 4 행정 내연 기관,0
19 실제 후 깨달음,0
19 여자 남자 손,0
19 여자 여자친구 친구 이번 주 시험 내일 알바,0
19 여친 진도 노하우,0
19 연예인 중 가장 경악 대물,0
19 우병우 관련 보고 사무실,1
19 이제 드림 팀,0
19 자살 커플,0
19 자세 후배 갑,0
19 저도 고모부,0
19 저도 사리,0
19 저도 야짤,0
19 저도 원본,0
19 저도 한조,0
19 직딩 모습 짤방,0
19 진짜 쌍둥이 자매 데뷔,0
19 체위 최고,0
19 최음제 후기,0
19 키,0
19,0
190800,0
1949 시카고,0
1960 런던,0
1960 시카고,0
19금 2 200만 아가씨,0
19금 24 강직도,0
19금 개인 처녀 구별 법,0
